ID;Età;Estroversione;Amicalità;Coscienziosità;Stabilità emotiva;Apertura Mentale;Conflitto; ; ; ; ; ; ; ; 
1;35;39;37;39;26;39;Elusione;;;;;;;;
2;28;28;49;31;34;37;Collaborazione;;;;;;;;
3;28;23;28;30;43;38;Elusione;;;;;;;;
4;34;11;33;36;34;40;Elusione;;;;;;;;
5;42;41;39;34;39;41;Accomodamento;;;;;;;;
6;26;32;47;31;23;48;Collaborazione;;;;;;;;
7;26;45;41;41;21;38;Competizione;;;;;;;;
8;27;41;42;34;32;40;Elusione;;;;;;;;
9;24;15;33;32;18;37;Elusione;;;;;;;;
10;29;30;42;39;41;31;Elusione;;;;;;;;
11;24;15;34;26;23;31;Elusione;;;;;;;;
12;28;27;39;25;25;43;Elusione;;;;;;;;
13;29;34;47;46;47;36;Elusione;;;;;;;;
14;26;27;39;19;25;34;Accomodamento;;;;;;;;
15;27;38;41;37;20;32;Collaborazione;;;;;;;;
16;27;14;24;32;48;30;Accomodamento;;;;;;;;
17;28;27;39;25;25;43;Elusione;;;;;;;;
18;26;34;44;29;21;46;Compromesso;;;;;;;;
19;20;14;33;32;21;31;Elusione;;;;;;;;
20;2;42;44;35;20;38;Collaborazione;;;;;;;;
21;25;34;33;35;38;26;Competizione;;;;;;;;
22;24;24;37;29;33;36;Elusione;;;;;;;;
23;22;21;42;33;17;46;Accomodamento;;;;;;;;
24;29;24;30;39;37;35;Collaborazione;;;;;;;;
25;24;19;32;26;25;39;Elusione;;;;;;;;
26;23;34;32;38;28;39;Elusione;;;;;;;;
27;27;20;39;39;31;40;Accomodamento;;;;;;;;
28;28;39;43;33;35;27;Elusione;;;;;;;;
29;24;41;40;38;22;41;Compromesso;;;;;;;;
30;25;37;35;48;19;40;Compromesso;;;;;;;;
31;27;37;41;35;21;38;Accomodamento;;;;;;;;
32;23;22;32;27;15;36;Accomodamento;;;;;;;;
33;28;36;36;30;34;33;Competizione;;;;;;;;
34;22;36;39;36;35;42;Compromesso;;;;;;;;
35;26;21;43;34;27;34;Elusione;;;;;;;;
36;26;37;38;41;37;36;Compromesso;;;;;;;;
37;27;37;48;24;29;49;Collaborazione;;;;;;;;
