ID,Eta,Estroversione,Amicalita,Coscienziosita,Stabilita emotiva,Apertura Mentale,Elusione,Competizione,Accomodamento,Compromesso,Collaborazione,Stile dominante
1,35,39,37,39,26,39,11,2,5,7,5,Elusione
2,29,28,49,31,34,37,10,0,5,4,11,Collaborazione
3,28,23,28,30,43,38,9,5,7,7,2,Elusione
4,34,11,33,36,34,40,12,6,7,3,2,Elusione
5,42,41,39,34,39,41,8,6,10,2,4,Accomodamento
6,26,32,47,31,23,48,3,3,6,8,10,Collaborazione
7,26,45,41,41,21,38,6,12,4,5,3,Competizione
8,27,41,42,34,32,40,8,5,7,5,5,Elusione
9,24,15,33,32,18,37,9,1,8,8,4,Elusione
10,29,30,42,39,41,31,11,1,6,4,8,Elusione
11,24,15,34,26,23,31,9,5,7,6,3,Elusione
12,28,27,39,25,25,43,10,6,5,3,6,Elusione
13,29,34,47,46,47,36,9,1,5,6,9,Elusione
14,26,27,39,19,25,34,4,5,7,7,6,Accomodamento
15,27,38,41,37,20,32,3,8,3,6,9,Collaborazione
16,28,14,24,32,48,30,8,0,10,5,6,Accomodamento
17,28,27,39,25,25,43,10,6,5,2,6,Elusione
18,26,34,44,29,21,46,6,2,6,8,8,Compromesso
19,20,14,33,32,21,31,9,2,5,5,9,Elusione
20,2,42,44,35,20,38,4,1,6,7,12,Collaborazione
21,25,34,33,35,38,26,4,9,2,6,9,Competizione
22,24,24,37,29,33,36,11,1,9,5,4,Elusione
23,22,21,42,33,17,46,8,0,11,4,7,Accomodamento
24,29,24,30,39,37,35,8,1,6,6,9,Collaborazione
25,24,19,32,26,25,39,12,2,8,4,4,Elusione
26,23,34,32,38,28,39,10,3,8,7,2,Elusione
27,27,20,39,39,31,40,6,4,7,7,6,Accomodamento
28,28,39,43,33,35,27,10,4,2,4,10,Elusione
29,24,41,40,38,22,41,5,3,6,8,8,Compromesso
30,25,37,35,48,19,40,8,2,2,10,8,Compromesso
31,27,37,41,35,21,38,6,5,9,4,6,Accomodamento
32,23,22,32,27,15,36,7,3,8,5,7,Accomodamento
33,28,36,36,30,34,33,8,9,4,4,5,Competizione
34,22,36,39,36,35,42,6,4,4,9,7,Compromesso
35,26,21,43,34,27,34,10,2,4,9,5,Elusione
36,26,37,38,41,37,36,7,5,5,10,3,Compromesso
37,27,37,48,24,29,49,4,5,6,6,9,Collaborazione
38,34,21,42,25,16,37,9,2,10,7,2,Accomodamento
39,25,18,46,32,28,42,8,8,7,4,3,Elusione
40,29,22,32,17,16,37,9,4,6,3,8,Elusione
41,58,22,40,32,34,30,10,1,5,6,8,Elusione
42,60,18,42,43,33,30,8,2,8,4,8,Elusione
43,31,19,30,36,28,30,8,5,5,6,6,Elusione
44,27,35,36,34,25,37,4,9,5,4,8,Competizione
45,74,34,30,43,28,35,8,1,10,5,6,Accomodamento
46,25,27,44,37,39,39,9,3,6,5,7,Elusione
47,20,28,40,30,24,34,5,7,9,5,4,Accomodamento
48,49,40,47,37,38,30,12,1,7,6,4,Elusione
49,27,24,37,34,23,34,9,6,6,1,8,Elusione
50,24,41,28,34,29,23,9,4,9,3,5,Elusione
51,26,22,33,27,15,45,6,8,4,8,4,Competizione
52,29,28,25,34,26,40,5,6,4,8,7,Compromesso
53,27,24,45,44,16,43,9,7,4,3,7,Elusione
54,29,29,38,31,22,49,6,4,4,7,9,Collaborazione
55,22,23,32,40,41,36,11,4,3,4,8,Elusione
56,22,37,41,33,39,37,8,3,5,7,7,Elusione
57,27,20,36,23,27,43,7,3,5,9,6,Compromesso
58,25,31,44,41,38,34,6,8,4,6,6,Competizione
59,21,16,36,42,34,33,10,1,10,5,4,Elusione
60,21,27,34,26,24,41,10,4,10,4,2,Elusione
61,29,32,44,34,32,42,3,5,10,2,10,Accomodamento
62,26,26,47,31,43,39,11,4,6,4,5,Elusione
63,27,22,39,29,17,32,10,0,6,9,5,Elusione
64,19,14,35,37,29,41,8,4,9,4,5,Accomodamento
65,42,36,22,22,14,46,5,11,5,4,5,Competizione
66,25,35,24,40,19,39,4,10,2,7,7,Competizione
67,20,33,27,40,24,26,6,1,9,5,9,Accomodamento
68,28,37,35,26,19,44,9,6,4,3,8,Elusione
69,25,29,35,29,29,33,10,6,4,3,7,Elusione
70,2,23,41,41,32,35,7,6,6,7,4,Elusione
71,22,45,43,34,35,40,6,8,1,6,9,Collaborazione
72,33,24,34,31,32,35,13,5,1,5,6,Elusione
73,51,38,40,42,28,26,8,2,10,5,5,Accomodamento
74,26,27,41,42,28,31,11,6,2,7,4,Elusione
75,26,36,46,36,15,41,9,4,7,5,5,Elusione
76,2,18,30,39,38,37,7,7,2,6,8,Collaborazione
77,26,40,40,41,27,38,7,7,4,10,2,Compromesso
78,26,18,32,29,25,32,8,4,7,6,5,Elusione
79,54,39,41,40,29,36,10,3,8,4,5,Elusione
80,28,36,32,29,34,39,8,7,6,6,3,Elusione
81,28,45,45,33,16,43,8,8,3,6,5,Elusione
82,35,42,39,42,28,42,10,7,2,7,4,Elusione
83,27,26,28,42,38,34,10,4,7,7,2,Elusione
84,26,37,40,37,32,38,8,2,10,4,6,Accomodamento
85,27,31,41,31,33,37,8,6,10,4,2,Accomodamento
86,2,30,40,45,43,38,10,3,8,6,3,Elusione
87,28,38,46,41,30,33,11,1,7,6,5,Elusione
88,33,28,41,33,28,35,8,4,6,4,8,Elusione
89,24,34,41,42,30,43,6,7,6,4,7,Competizione
90,24,34,41,42,30,43,6,7,6,4,7,Competizione
91,1,34,29,41,20,45,4,7,5,4,10,Collaborazione
92,26,37,41,28,17,34,7,2,10,7,4,Accomodamento
93,36,35,50,38,38,38,5,7,5,6,7,Competizione
94,33,37,46,41,30,40,8,4,7,5,6,Elusione
95,42,38,42,43,45,34,8,1,7,8,6,Elusione
96,2,34,37,33,30,31,8,4,5,10,3,Compromesso
97,49,37,41,37,32,45,9,5,7,5,4,Elusione
98,25,38,47,40,35,36,7,1,7,6,9,Collaborazione
99,26,47,38,31,41,35,8,1,4,10,7,Compromesso
100,28,39,41,34,31,43,5,9,5,5,6,Competizione
101,25,39,45,30,33,40,4,6,5,6,9,Collaborazione
102,2,44,49,42,29,44,5,9,6,3,7,Competizione
103,24,20,42,38,18,40,6,1,11,7,5,Accomodamento
104,24,46,49,32,29,38,7,2,6,8,7,Compromesso
105,24,30,33,32,17,40,8,11,3,2,6,Competizione
106,28,20,35,33,28,36,6,3,6,7,8,Collaborazione
107,23,21,45,35,24,45,9,3,6,7,5,Elusione
108,25,25,33,34,27,33,10,1,10,5,4,Elusione
109,24,38,46,47,39,37,8,0,9,4,9,Accomodamento
110,63,23,46,46,43,28,9,2,4,9,6,Elusione
111,24,37,37,35,32,34,10,3,5,3,9,Elusione
112,24,37,37,35,32,34,10,3,5,3,9,Elusione
113,24,29,34,46,32,42,6,5,6,9,4,Compromesso
114,23,29,39,22,38,44,6,2,6,10,6,Compromesso
115,29,39,41,26,28,38,8,5,6,6,5,Elusione
116,28,37,37,39,36,44,6,2,7,6,9,Collaborazione
117,28,38,37,42,14,35,6,3,6,7,8,Collaborazione
118,2,27,45,40,39,43,6,0,10,6,8,Accomodamento
119,35,45,44,40,39,43,8,1,7,5,9,Collaborazione
120,24,37,27,33,33,36,7,12,2,5,4,Competizione
121,2,31,35,33,29,35,10,1,4,7,8,Elusione
122,27,34,42,37,21,39,10,0,7,5,8,Elusione
123,26,28,43,36,28,32,6,9,5,4,6,Competizione
124,26,42,48,30,36,36,9,3,11,2,5,Accomodamento
125,28,21,38,29,19,45,5,9,7,7,2,Competizione
126,27,37,40,30,20,33,8,10,5,2,5,Competizione
